Method,Site,n,Pearson_r,Pearson_p
NDVI,FK1,6,0.8836282692873908,0.01952559448121739
NDVI,FK2,5,0.6767694163291206,0.2095730094796986
NDVI,FK3,5,0.5591434814671883,0.3271426041115836
NDVI,FK4,4,0.9416397070802819,0.058360292919718226
NDVI,FK6,5,0.5649932445062463,0.32098232700898915
NDVI,FK7,5,0.8040429466914675,0.1010133946855802
NDVI,FK8,6,0.7337779128018976,0.09687716088024403
NDVI,FK9,6,0.8103404405047322,0.0505450246035431
NDWI,FK1,6,-0.8847897685979812,0.01914548053545236
NDWI,FK2,5,-0.6981206012526726,0.18983149473536615
NDWI,FK3,5,-0.5596340453655884,0.32662486535268964
NDWI,FK4,4,-0.9370843682498614,0.0629156317501387
NDWI,FK6,5,-0.5971155863172127,0.28769898202261296
NDWI,FK7,5,-0.7998307850754643,0.10421733364218756
NDWI,FK8,6,-0.6581512847400431,0.1553165027504891
NDWI,FK9,6,-0.7187155871086487,0.10755364050704706
SAVI,FK1,6,0.7912625495397024,0.06080950137544876
SAVI,FK2,5,0.6940618910637277,0.19354165995319572
SAVI,FK3,5,0.5967574845061471,0.2880647849492394
SAVI,FK4,4,0.9071914625212063,0.0928085374787937
SAVI,FK6,5,0.7389975610166225,0.15364594413692492
SAVI,FK7,5,0.917091871734059,0.028297855456976776
SAVI,FK8,6,0.8283856672149261,0.04165007084819683
SAVI,FK9,6,0.833206999990995,0.0394097745828905
OSAVI,FK1,6,0.8836132114190272,0.01953054583329621
OSAVI,FK2,5,0.6767795741553022,0.20956348807474356
OSAVI,FK3,5,0.5591642776313337,0.32712065174447524
OSAVI,FK4,4,0.9416318410689122,0.05836815893108782
OSAVI,FK6,5,0.5650750721484901,0.32089636636847235
OSAVI,FK7,5,0.8040919855575569,0.10097627278505057
OSAVI,FK8,6,0.7338161613934234,0.0968506808883643
OSAVI,FK9,6,0.810371416413825,0.05052907247798201
EVI,FK1,6,0.7619852574656802,0.07823463780375396
EVI,FK2,5,0.7352265634196098,0.15689056822566189
EVI,FK3,5,0.6268683417238424,0.2577419937387124
EVI,FK4,4,0.9051442941711518,0.09485570582884817
EVI,FK6,5,0.8761400837603984,0.051344294395168674
EVI,FK7,5,0.9662032974240605,0.007420469296574212
EVI,FK8,6,0.9148144965690732,0.010575777708077095
EVI,FK9,6,0.869661258128539,0.024375171947596006
NDRE,FK1,6,0.9480864564123739,0.003972570096240766
NDRE,FK2,5,0.7673866983068557,0.12987323752072363
NDRE,FK3,5,0.742259347762243,0.15085546395764238
NDRE,FK4,4,0.9988795860571911,0.0011204139428089288
NDRE,FK6,5,0.6759936681384542,0.21030051104165484
NDRE,FK7,5,0.8462766768988093,0.07065891567520113
NDRE,FK8,6,0.8208568871114938,0.045263829122290836
NDRE,FK9,6,0.8582178509807817,0.028728201687918377
SNAP,FK1,6,0.9576436627940301,0.002653094061887698
SNAP,FK2,5,0.7604362864100743,0.13558396503850928
SNAP,FK3,5,0.6334211613155637,0.25126363235813587
SNAP,FK4,4,0.8911117967067472,0.10888820329325277
SNAP,FK6,5,0.6745104380023098,0.21169344912235505
SNAP,FK7,5,0.7861994589442942,0.11479001382005061
SNAP,FK8,6,0.8353103235180238,0.03845062082679676
SNAP,FK9,6,0.8754521844969377,0.02230223480197485
Copernicus,FK1,6,0.8658314890688553,0.025794187604826397
Copernicus,FK2,5,0.7098886088156541,0.17919052849570713
Copernicus,FK3,5,0.47618800463317773,0.4174627476175943
Copernicus,FK4,4,0.91329447565172,0.08670552434828016
Copernicus,FK6,5,0.5489100767767819,0.3379896121580751
Copernicus,FK7,5,0.7683926970053013,0.12905273065423462
Copernicus,FK8,6,0.6960592105403948,0.12453097964936254
Copernicus,FK9,6,0.7401126456378991,0.09253557275567051
